,base_market,quote_market,hedge_ratio,half_life
0,CELO-USD,COMP-USD,0.015163951601854115,17.0
1,CELO-USD,UNI-USD,0.1184469152714502,16.0
2,CELO-USD,ETC-USD,0.03639667042668455,18.0
3,CELO-USD,SNX-USD,0.31287904178859893,14.0
4,CELO-USD,SOL-USD,0.034838248495518684,18.0
5,LINK-USD,EOS-USD,6.511040077557767,11.0
6,LINK-USD,DOT-USD,1.0872237489798653,15.0
7,LINK-USD,SUSHI-USD,5.333879262912993,15.0
8,DOGE-USD,AAVE-USD,0.0010078426856967347,21.0
9,DOGE-USD,ADA-USD,0.2220905975019145,18.0
10,DOGE-USD,LTC-USD,0.000891033588146455,14.0
11,AAVE-USD,TRX-USD,1252.6169385519454,11.0
12,AAVE-USD,BTC-USD,0.0036387780908229282,12.0
13,AAVE-USD,CRV-USD,77.13760303579559,23.0
14,MKR-USD,TRX-USD,10943.556832076483,22.0
15,EOS-USD,DOT-USD,0.16693807068888394,9.0
16,COMP-USD,ALGO-USD,197.8295744905609,14.0
17,COMP-USD,ETC-USD,2.3988446816173794,18.0
18,COMP-USD,XLM-USD,591.1854225973793,20.0
19,COMP-USD,NEAR-USD,21.677947888157195,10.0
20,COMP-USD,SOL-USD,2.2957466390621266,24.0
21,ALGO-USD,SNX-USD,0.10424068521930982,7.0
22,ALGO-USD,RUNE-USD,0.1528458785799134,19.0
23,ALGO-USD,NEAR-USD,0.10954715873364364,12.0
24,ZRX-USD,ENJ-USD,0.5234446897566342,7.0
25,ETC-USD,NEAR-USD,9.030697649826612,24.0
26,AVAX-USD,XLM-USD,215.7455395911469,23.0
27,AVAX-USD,BCH-USD,0.14458196250838234,13.0
28,ENJ-USD,UMA-USD,0.22655513780906716,10.0
29,SNX-USD,XLM-USD,28.646145992914086,12.0
30,SNX-USD,BCH-USD,0.019190103172646942,18.0
31,SNX-USD,TRX-USD,37.67131407805499,12.0
32,SNX-USD,BTC-USD,0.00010943534110135168,13.0
33,SNX-USD,NEAR-USD,1.0501928498193542,11.0
34,SNX-USD,ZEC-USD,0.05555859916726212,15.0
35,SNX-USD,SOL-USD,0.1112179879715422,20.0
36,BCH-USD,UMA-USD,62.768350648805,11.0
37,TRX-USD,SUSHI-USD,0.049044647752621115,14.0
38,NEAR-USD,SUSHI-USD,1.7602599416115625,13.0
